"geneDescr"	"clGeneIds"	"aaGenePartitions"	"ntGenePartitions"
"Evolved beta-galactosidase subunit alpha"	"fig|Bacteroides_1_1_30.peg.3615,fig|Bacteroides_2_1_22.peg.3883,fig|Bacteroides_2_2_4.peg.3831,fig|Bacteroides_3_1_23.peg.4500,fig|Bacteroides_D1.peg.3099,fig|Bacteroides_D22.peg.3455,fig|Bacteroides_D2.peg.4030,fig|Bacteroides_ovatus_3_8_47FAA.peg.3734,fig|Bacteroides_ovatus_ATCC_8483.peg.3215,fig|Bacteroides_ovatus_CL03T12C18.peg.4013,fig|Bacteroides_ovatus_SD_CC_2a.peg.3203,fig|Bacteroides_ovatus_SD_CMC_3f.peg.5143,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3451,fig|Bacteroides_xylanisolvens_XB1A.peg.3267,fig|Bovatus_CL02T12C04.peg.4350,fig|Bovatus_NLAE-zl-C11.peg.2919,fig|Bovatus_NLAE-zl-C34.peg.3010,fig|Bovatus_NLAE-zl-H304.peg.4045,fig|Bovatus_NLAE-zl-H361.peg.3542,fig|Bovatus_NLAE-zl-H59.peg.4479,fig|Bovatus_NLAE-zl-H73.peg.4488,fig|Bxylanisolvens_CL03T12C04.peg.3247,fig|Bxylanisolvens_NLAE-zl-C182.peg.3239,fig|Bxylanisolvens_NLAE-zl-C29.peg.2946,fig|Bxylanisolvens_NLAE-zl-C339.peg.3233,fig|Bxylanisolvens_NLAE-zl-G310.peg.3262,fig|Bxylanisolvens_NLAE-zl-G421.peg.3268,fig|Bxylanisolvens_NLAE-zl-H194.peg.2991,fig|Bxylanisolvens_NLAE-zl-P352.peg.3222,fig|Bxylanisolvens_NLAE-zl-P393.peg.3414,fig|Bxylanisolvens_NLAE-zl-P727.peg.3001,fig|Bxylanisolvens_NLAE-zl-P732.peg.3302,fig|Bxylanisolvens_NLAE-zl-P736.peg.3966"	"12697-13823"	"38089-41469"
"TonB-dependent Receptor Plug Domain protein"	"fig|Bacteroides_1_1_30.peg.2571,fig|Bacteroides_2_1_22.peg.2663,fig|Bacteroides_2_2_4.peg.2513,fig|Bacteroides_3_1_23.peg.638,fig|Bacteroides_D1.peg.2448,fig|Bacteroides_D22.peg.2527,fig|Bacteroides_D2.peg.2876,fig|Bacteroides_ovatus_3_8_47FAA.peg.2612,fig|Bacteroides_ovatus_ATCC_8483.peg.2190,fig|Bacteroides_ovatus_CL03T12C18.peg.2816,fig|Bacteroides_ovatus_SD_CC_2a.peg.2293,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4076,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2293,fig|Bacteroides_xylanisolvens_XB1A.peg.2218,fig|Bovatus_CL02T12C04.peg.3093,fig|Bovatus_NLAE-zl-C11.peg.2020,fig|Bovatus_NLAE-zl-C34.peg.2118,fig|Bovatus_NLAE-zl-H304.peg.2943,fig|Bovatus_NLAE-zl-H361.peg.2499,fig|Bovatus_NLAE-zl-H59.peg.3289,fig|Bovatus_NLAE-zl-H73.peg.3276,fig|Bxylanisolvens_CL03T12C04.peg.2183,fig|Bxylanisolvens_NLAE-zl-C182.peg.2281,fig|Bxylanisolvens_NLAE-zl-C29.peg.2157,fig|Bxylanisolvens_NLAE-zl-C339.peg.2293,fig|Bxylanisolvens_NLAE-zl-G310.peg.2336,fig|Bxylanisolvens_NLAE-zl-G421.peg.2341,fig|Bxylanisolvens_NLAE-zl-H194.peg.2188,fig|Bxylanisolvens_NLAE-zl-P352.peg.2160,fig|Bxylanisolvens_NLAE-zl-P393.peg.2398,fig|Bxylanisolvens_NLAE-zl-P727.peg.1983,fig|Bxylanisolvens_NLAE-zl-P732.peg.2255,fig|Bxylanisolvens_NLAE-zl-P736.peg.2750"	"13824-14940"	"41470-44820"
"Vitamin B12 transporter BtuB"	"fig|Bacteroides_1_1_30.peg.5051,fig|Bacteroides_2_1_22.peg.3290,fig|Bacteroides_2_2_4.peg.3341,fig|Bacteroides_3_1_23.peg.3956,fig|Bacteroides_D1.peg.4356,fig|Bacteroides_D22.peg.4933,fig|Bacteroides_D2.peg.3513,fig|Bacteroides_ovatus_3_8_47FAA.peg.3209,fig|Bacteroides_ovatus_ATCC_8483.peg.4821,fig|Bacteroides_ovatus_CL03T12C18.peg.3435,fig|Bacteroides_ovatus_SD_CC_2a.peg.4829,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2838,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3002,fig|Bacteroides_xylanisolvens_XB1A.peg.4668,fig|Bovatus_CL02T12C04.peg.3837,fig|Bovatus_NLAE-zl-C11.peg.4093,fig|Bovatus_NLAE-zl-C34.peg.4181,fig|Bovatus_NLAE-zl-H304.peg.5478,fig|Bovatus_NLAE-zl-H361.peg.4957,fig|Bovatus_NLAE-zl-H59.peg.5758,fig|Bovatus_NLAE-zl-H73.peg.5781,fig|Bxylanisolvens_CL03T12C04.peg.2821,fig|Bxylanisolvens_NLAE-zl-C182.peg.4404,fig|Bxylanisolvens_NLAE-zl-C29.peg.4509,fig|Bxylanisolvens_NLAE-zl-C339.peg.4417,fig|Bxylanisolvens_NLAE-zl-G310.peg.2884,fig|Bxylanisolvens_NLAE-zl-G421.peg.2890,fig|Bxylanisolvens_NLAE-zl-H194.peg.4500,fig|Bxylanisolvens_NLAE-zl-P352.peg.2723,fig|Bxylanisolvens_NLAE-zl-P393.peg.2962,fig|Bxylanisolvens_NLAE-zl-P727.peg.2546,fig|Bxylanisolvens_NLAE-zl-P732.peg.2817,fig|Bxylanisolvens_NLAE-zl-P736.peg.3337"	"14941-16052"	"44821-48156"
"TonB dependent receptor"	"fig|Bacteroides_1_1_30.peg.2633,fig|Bacteroides_2_1_22.peg.2672,fig|Bacteroides_2_2_4.peg.2522,fig|Bacteroides_3_1_23.peg.647,fig|Bacteroides_D1.peg.2457,fig|Bacteroides_D22.peg.2537,fig|Bacteroides_D2.peg.2886,fig|Bacteroides_ovatus_3_8_47FAA.peg.2621,fig|Bacteroides_ovatus_ATCC_8483.peg.2200,fig|Bacteroides_ovatus_CL03T12C18.peg.2825,fig|Bacteroides_ovatus_SD_CC_2a.peg.2303,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4085,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2302,fig|Bacteroides_xylanisolvens_XB1A.peg.2237,fig|Bovatus_CL02T12C04.peg.3103,fig|Bovatus_NLAE-zl-C11.peg.2029,fig|Bovatus_NLAE-zl-C34.peg.2127,fig|Bovatus_NLAE-zl-H304.peg.2952,fig|Bovatus_NLAE-zl-H361.peg.2508,fig|Bovatus_NLAE-zl-H59.peg.3298,fig|Bovatus_NLAE-zl-H73.peg.3285,fig|Bxylanisolvens_CL03T12C04.peg.2194,fig|Bxylanisolvens_NLAE-zl-C182.peg.2290,fig|Bxylanisolvens_NLAE-zl-C29.peg.2167,fig|Bxylanisolvens_NLAE-zl-C339.peg.2302,fig|Bxylanisolvens_NLAE-zl-G310.peg.2346,fig|Bxylanisolvens_NLAE-zl-G421.peg.2351,fig|Bxylanisolvens_NLAE-zl-H194.peg.2197,fig|Bxylanisolvens_NLAE-zl-P352.peg.2169,fig|Bxylanisolvens_NLAE-zl-P393.peg.2408,fig|Bxylanisolvens_NLAE-zl-P727.peg.1993,fig|Bxylanisolvens_NLAE-zl-P732.peg.2265,fig|Bxylanisolvens_NLAE-zl-P736.peg.2760"	"16053-17142"	"48157-51426"
"TonB dependent receptor"	"fig|Bacteroides_1_1_30.peg.2827,fig|Bacteroides_2_1_22.peg.2867,fig|Bacteroides_2_2_4.peg.2878,fig|Bacteroides_3_1_23.peg.3486,fig|Bacteroides_D1.peg.2654,fig|Bacteroides_D22.peg.2737,fig|Bacteroides_D2.peg.3072,fig|Bacteroides_ovatus_3_8_47FAA.peg.2830,fig|Bacteroides_ovatus_ATCC_8483.peg.2384,fig|Bacteroides_ovatus_CL03T12C18.peg.3024,fig|Bacteroides_ovatus_SD_CC_2a.peg.2554,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4391,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2567,fig|Bacteroides_xylanisolvens_XB1A.peg.2523,fig|Bovatus_CL02T12C04.peg.3319,fig|Bovatus_NLAE-zl-C11.peg.2216,fig|Bovatus_NLAE-zl-C34.peg.2303,fig|Bovatus_NLAE-zl-H304.peg.3175,fig|Bovatus_NLAE-zl-H361.peg.2730,fig|Bovatus_NLAE-zl-H59.peg.3506,fig|Bovatus_NLAE-zl-H73.peg.3494,fig|Bxylanisolvens_CL03T12C04.peg.2424,fig|Bxylanisolvens_NLAE-zl-C182.peg.2497,fig|Bxylanisolvens_NLAE-zl-C29.peg.2358,fig|Bxylanisolvens_NLAE-zl-C339.peg.2549,fig|Bxylanisolvens_NLAE-zl-G310.peg.2549,fig|Bxylanisolvens_NLAE-zl-G421.peg.2555,fig|Bxylanisolvens_NLAE-zl-H194.peg.2388,fig|Bxylanisolvens_NLAE-zl-P352.peg.2344,fig|Bxylanisolvens_NLAE-zl-P393.peg.2581,fig|Bxylanisolvens_NLAE-zl-P727.peg.2168,fig|Bxylanisolvens_NLAE-zl-P732.peg.2439,fig|Bxylanisolvens_NLAE-zl-P736.peg.2941"	"17143-18226"	"51427-54678"
"Beta-galactosidase"	"fig|Bacteroides_1_1_30.peg.2852,fig|Bacteroides_2_1_22.peg.2876,fig|Bacteroides_2_2_4.peg.2904,fig|Bacteroides_3_1_23.peg.3512,fig|Bacteroides_D1.peg.2662,fig|Bacteroides_D22.peg.2763,fig|Bacteroides_D2.peg.3098,fig|Bacteroides_ovatus_3_8_47FAA.peg.2839,fig|Bacteroides_ovatus_ATCC_8483.peg.2392,fig|Bacteroides_ovatus_CL03T12C18.peg.3033,fig|Bacteroides_ovatus_SD_CC_2a.peg.2564,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4416,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2576,fig|Bacteroides_xylanisolvens_XB1A.peg.2549,fig|Bovatus_CL02T12C04.peg.3328,fig|Bovatus_NLAE-zl-C11.peg.2225,fig|Bovatus_NLAE-zl-C34.peg.2312,fig|Bovatus_NLAE-zl-H304.peg.3199,fig|Bovatus_NLAE-zl-H361.peg.2754,fig|Bovatus_NLAE-zl-H59.peg.3515,fig|Bovatus_NLAE-zl-H73.peg.3518,fig|Bxylanisolvens_CL03T12C04.peg.2449,fig|Bxylanisolvens_NLAE-zl-C182.peg.2505,fig|Bxylanisolvens_NLAE-zl-C29.peg.2366,fig|Bxylanisolvens_NLAE-zl-C339.peg.2557,fig|Bxylanisolvens_NLAE-zl-G310.peg.2557,fig|Bxylanisolvens_NLAE-zl-G421.peg.2563,fig|Bxylanisolvens_NLAE-zl-H194.peg.2397,fig|Bxylanisolvens_NLAE-zl-P352.peg.2378,fig|Bxylanisolvens_NLAE-zl-P393.peg.2615,fig|Bxylanisolvens_NLAE-zl-P727.peg.2202,fig|Bxylanisolvens_NLAE-zl-P732.peg.2472,fig|Bxylanisolvens_NLAE-zl-P736.peg.2975"	"18227-19290"	"54679-57870"
"TonB dependent receptor"	"fig|Bacteroides_1_1_30.peg.2527,fig|Bacteroides_2_1_22.peg.2624,fig|Bacteroides_2_2_4.peg.2453,fig|Bacteroides_3_1_23.peg.568,fig|Bacteroides_D1.peg.2198,fig|Bacteroides_D22.peg.2487,fig|Bacteroides_D2.peg.2812,fig|Bacteroides_ovatus_3_8_47FAA.peg.2567,fig|Bacteroides_ovatus_ATCC_8483.peg.2153,fig|Bacteroides_ovatus_CL03T12C18.peg.2754,fig|Bacteroides_ovatus_SD_CC_2a.peg.2251,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4013,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2251,fig|Bacteroides_xylanisolvens_XB1A.peg.2176,fig|Bovatus_CL02T12C04.peg.2865,fig|Bovatus_NLAE-zl-C11.peg.1986,fig|Bovatus_NLAE-zl-C34.peg.2084,fig|Bovatus_NLAE-zl-H304.peg.2892,fig|Bovatus_NLAE-zl-H361.peg.2451,fig|Bovatus_NLAE-zl-H59.peg.3060,fig|Bovatus_NLAE-zl-H73.peg.3049,fig|Bxylanisolvens_CL03T12C04.peg.2102,fig|Bxylanisolvens_NLAE-zl-C182.peg.2245,fig|Bxylanisolvens_NLAE-zl-C29.peg.2109,fig|Bxylanisolvens_NLAE-zl-C339.peg.2237,fig|Bxylanisolvens_NLAE-zl-G310.peg.2288,fig|Bxylanisolvens_NLAE-zl-G421.peg.2293,fig|Bxylanisolvens_NLAE-zl-H194.peg.2145,fig|Bxylanisolvens_NLAE-zl-P352.peg.2107,fig|Bxylanisolvens_NLAE-zl-P393.peg.2345,fig|Bxylanisolvens_NLAE-zl-P727.peg.1930,fig|Bxylanisolvens_NLAE-zl-P732.peg.2202,fig|Bxylanisolvens_NLAE-zl-P736.peg.2696"	"19291-20352"	"57871-61056"
"Efflux pump membrane transporter BepE"	"fig|Bacteroides_1_1_30.peg.2647,fig|Bacteroides_2_1_22.peg.2685,fig|Bacteroides_2_2_4.peg.2535,fig|Bacteroides_3_1_23.peg.660,fig|Bacteroides_D1.peg.2470,fig|Bacteroides_D22.peg.2551,fig|Bacteroides_D2.peg.2895,fig|Bacteroides_ovatus_3_8_47FAA.peg.2630,fig|Bacteroides_ovatus_ATCC_8483.peg.2212,fig|Bacteroides_ovatus_CL03T12C18.peg.2834,fig|Bacteroides_ovatus_SD_CC_2a.peg.2316,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4098,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2315,fig|Bacteroides_xylanisolvens_XB1A.peg.2251,fig|Bovatus_CL02T12C04.peg.3116,fig|Bovatus_NLAE-zl-C11.peg.2042,fig|Bovatus_NLAE-zl-C34.peg.2140,fig|Bovatus_NLAE-zl-H304.peg.2965,fig|Bovatus_NLAE-zl-H361.peg.2521,fig|Bovatus_NLAE-zl-H59.peg.3307,fig|Bovatus_NLAE-zl-H73.peg.3294,fig|Bxylanisolvens_CL03T12C04.peg.2207,fig|Bxylanisolvens_NLAE-zl-C182.peg.2303,fig|Bxylanisolvens_NLAE-zl-C29.peg.2180,fig|Bxylanisolvens_NLAE-zl-C339.peg.2315,fig|Bxylanisolvens_NLAE-zl-G310.peg.2359,fig|Bxylanisolvens_NLAE-zl-G421.peg.2364,fig|Bxylanisolvens_NLAE-zl-H194.peg.2210,fig|Bxylanisolvens_NLAE-zl-P352.peg.2178,fig|Bxylanisolvens_NLAE-zl-P393.peg.2417,fig|Bxylanisolvens_NLAE-zl-P727.peg.2002,fig|Bxylanisolvens_NLAE-zl-P732.peg.2274,fig|Bxylanisolvens_NLAE-zl-P736.peg.2769"	"20353-21411"	"61057-64233"
"Vitamin B12 transporter BtuB"	"fig|Bacteroides_1_1_30.peg.4635,fig|Bacteroides_2_1_22.peg.4384,fig|Bacteroides_2_2_4.peg.5159,fig|Bacteroides_3_1_23.peg.2251,fig|Bacteroides_D1.peg.4159,fig|Bacteroides_D22.peg.4526,fig|Bacteroides_D2.peg.4849,fig|Bacteroides_ovatus_3_8_47FAA.peg.4700,fig|Bacteroides_ovatus_ATCC_8483.peg.4174,fig|Bacteroides_ovatus_CL03T12C18.peg.5124,fig|Bacteroides_ovatus_SD_CC_2a.peg.4325,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2423,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.4626,fig|Bacteroides_xylanisolvens_XB1A.peg.4331,fig|Bovatus_CL02T12C04.peg.5863,fig|Bovatus_NLAE-zl-C11.peg.3717,fig|Bovatus_NLAE-zl-C34.peg.3806,fig|Bovatus_NLAE-zl-H304.peg.5030,fig|Bovatus_NLAE-zl-H361.peg.4465,fig|Bovatus_NLAE-zl-H59.peg.5390,fig|Bovatus_NLAE-zl-H73.peg.5413,fig|Bxylanisolvens_CL03T12C04.peg.4349,fig|Bxylanisolvens_NLAE-zl-C182.peg.4085,fig|Bxylanisolvens_NLAE-zl-C29.peg.4050,fig|Bxylanisolvens_NLAE-zl-C339.peg.4097,fig|Bxylanisolvens_NLAE-zl-G310.peg.4255,fig|Bxylanisolvens_NLAE-zl-G421.peg.4253,fig|Bxylanisolvens_NLAE-zl-H194.peg.3918,fig|Bxylanisolvens_NLAE-zl-P352.peg.4189,fig|Bxylanisolvens_NLAE-zl-P393.peg.1285,fig|Bxylanisolvens_NLAE-zl-P727.peg.3980,fig|Bxylanisolvens_NLAE-zl-P732.peg.4255,fig|Bxylanisolvens_NLAE-zl-P736.peg.4812"	"21412-22464"	"64234-67392"
"TonB dependent receptor"	"fig|Bacteroides_1_1_30.peg.2509,fig|Bacteroides_2_1_22.peg.2608,fig|Bacteroides_2_2_4.peg.2439,fig|Bacteroides_3_1_23.peg.551,fig|Bacteroides_D1.peg.2181,fig|Bacteroides_D22.peg.2471,fig|Bacteroides_D2.peg.2796,fig|Bacteroides_ovatus_3_8_47FAA.peg.2552,fig|Bacteroides_ovatus_ATCC_8483.peg.2138,fig|Bacteroides_ovatus_CL03T12C18.peg.2740,fig|Bacteroides_ovatus_SD_CC_2a.peg.2233,fig|Bacteroides_ovatus_SD_CMC_3f.peg.3997,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2234,fig|Bacteroides_xylanisolvens_XB1A.peg.2154,fig|Bovatus_CL02T12C04.peg.2850,fig|Bovatus_NLAE-zl-C11.peg.1971,fig|Bovatus_NLAE-zl-C34.peg.2069,fig|Bovatus_NLAE-zl-H304.peg.2877,fig|Bovatus_NLAE-zl-H361.peg.2436,fig|Bovatus_NLAE-zl-H59.peg.3046,fig|Bovatus_NLAE-zl-H73.peg.3035,fig|Bxylanisolvens_CL03T12C04.peg.2079,fig|Bxylanisolvens_NLAE-zl-C182.peg.2229,fig|Bxylanisolvens_NLAE-zl-C29.peg.2094,fig|Bxylanisolvens_NLAE-zl-C339.peg.2221,fig|Bxylanisolvens_NLAE-zl-G310.peg.2271,fig|Bxylanisolvens_NLAE-zl-G421.peg.2277,fig|Bxylanisolvens_NLAE-zl-H194.peg.2130,fig|Bxylanisolvens_NLAE-zl-P352.peg.2081,fig|Bxylanisolvens_NLAE-zl-P393.peg.2319,fig|Bxylanisolvens_NLAE-zl-P727.peg.1904,fig|Bxylanisolvens_NLAE-zl-P732.peg.2176,fig|Bxylanisolvens_NLAE-zl-P736.peg.2670"	"22465-23519"	"67393-70557"
"Translation initiation factor IF-2"	"fig|Bacteroides_1_1_30.peg.2940,fig|Bacteroides_2_1_22.peg.2954,fig|Bacteroides_2_2_4.peg.2989,fig|Bacteroides_3_1_23.peg.3604,fig|Bacteroides_D1.peg.2741,fig|Bacteroides_D22.peg.2854,fig|Bacteroides_D2.peg.3192,fig|Bacteroides_ovatus_3_8_47FAA.peg.2932,fig|Bacteroides_ovatus_ATCC_8483.peg.2474,fig|Bacteroides_ovatus_CL03T12C18.peg.3129,fig|Bacteroides_ovatus_SD_CC_2a.peg.2647,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4499,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2660,fig|Bacteroides_xylanisolvens_XB1A.peg.2659,fig|Bovatus_CL02T12C04.peg.3411,fig|Bovatus_NLAE-zl-C11.peg.2319,fig|Bovatus_NLAE-zl-C34.peg.2406,fig|Bovatus_NLAE-zl-H304.peg.3305,fig|Bovatus_NLAE-zl-H361.peg.2856,fig|Bovatus_NLAE-zl-H59.peg.3610,fig|Bovatus_NLAE-zl-H73.peg.3613,fig|Bxylanisolvens_CL03T12C04.peg.2543,fig|Bxylanisolvens_NLAE-zl-C182.peg.2602,fig|Bxylanisolvens_NLAE-zl-C29.peg.2452,fig|Bxylanisolvens_NLAE-zl-C339.peg.2637,fig|Bxylanisolvens_NLAE-zl-G310.peg.2639,fig|Bxylanisolvens_NLAE-zl-G421.peg.2645,fig|Bxylanisolvens_NLAE-zl-H194.peg.2494,fig|Bxylanisolvens_NLAE-zl-P352.peg.2463,fig|Bxylanisolvens_NLAE-zl-P393.peg.2700,fig|Bxylanisolvens_NLAE-zl-P727.peg.2287,fig|Bxylanisolvens_NLAE-zl-P732.peg.2557,fig|Bxylanisolvens_NLAE-zl-P736.peg.3059"	"23520-24556"	"70558-73668"
"Beta-galactosidase"	"fig|Bacteroides_1_1_30.peg.4978,fig|Bacteroides_2_1_22.peg.4560,fig|Bacteroides_2_2_4.peg.5401,fig|Bacteroides_3_1_23.peg.2432,fig|Bacteroides_D1.peg.3464,fig|Bacteroides_D22.peg.4751,fig|Bacteroides_D2.peg.5069,fig|Bacteroides_ovatus_3_8_47FAA.peg.4964,fig|Bacteroides_ovatus_ATCC_8483.peg.4387,fig|Bacteroides_ovatus_CL03T12C18.peg.5349,fig|Bacteroides_ovatus_SD_CC_2a.peg.4512,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2631,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.4811,fig|Bacteroides_xylanisolvens_XB1A.peg.4512,fig|Bovatus_CL02T12C04.peg.6058,fig|Bovatus_NLAE-zl-C11.peg.3900,fig|Bovatus_NLAE-zl-C34.peg.3989,fig|Bovatus_NLAE-zl-H304.peg.5143,fig|Bovatus_NLAE-zl-H361.peg.4667,fig|Bovatus_NLAE-zl-H59.peg.5612,fig|Bovatus_NLAE-zl-H73.peg.5635,fig|Bxylanisolvens_CL03T12C04.peg.4521,fig|Bxylanisolvens_NLAE-zl-C182.peg.4260,fig|Bxylanisolvens_NLAE-zl-C29.peg.4321,fig|Bxylanisolvens_NLAE-zl-C339.peg.4273,fig|Bxylanisolvens_NLAE-zl-G310.peg.4430,fig|Bxylanisolvens_NLAE-zl-G421.peg.4428,fig|Bxylanisolvens_NLAE-zl-H194.peg.4188,fig|Bxylanisolvens_NLAE-zl-P352.peg.4360,fig|Bxylanisolvens_NLAE-zl-P393.peg.4359,fig|Bxylanisolvens_NLAE-zl-P727.peg.4359,fig|Bxylanisolvens_NLAE-zl-P732.peg.4363,fig|Bxylanisolvens_NLAE-zl-P736.peg.5007"	"24557-25585"	"73669-76755"
"TonB dependent receptor"	"fig|Bacteroides_1_1_30.peg.2525,fig|Bacteroides_2_1_22.peg.2622,fig|Bacteroides_2_2_4.peg.2451,fig|Bacteroides_3_1_23.peg.566,fig|Bacteroides_D1.peg.2196,fig|Bacteroides_D22.peg.2485,fig|Bacteroides_D2.peg.2810,fig|Bacteroides_ovatus_3_8_47FAA.peg.2565,fig|Bacteroides_ovatus_ATCC_8483.peg.2151,fig|Bacteroides_ovatus_CL03T12C18.peg.2752,fig|Bacteroides_ovatus_SD_CC_2a.peg.2249,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4011,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2249,fig|Bacteroides_xylanisolvens_XB1A.peg.2174,fig|Bovatus_CL02T12C04.peg.2863,fig|Bovatus_NLAE-zl-C11.peg.1984,fig|Bovatus_NLAE-zl-C34.peg.2082,fig|Bovatus_NLAE-zl-H304.peg.2890,fig|Bovatus_NLAE-zl-H361.peg.2449,fig|Bovatus_NLAE-zl-H59.peg.3058,fig|Bovatus_NLAE-zl-H73.peg.3047,fig|Bxylanisolvens_CL03T12C04.peg.2100,fig|Bxylanisolvens_NLAE-zl-C182.peg.2243,fig|Bxylanisolvens_NLAE-zl-C29.peg.2107,fig|Bxylanisolvens_NLAE-zl-C339.peg.2235,fig|Bxylanisolvens_NLAE-zl-G310.peg.2286,fig|Bxylanisolvens_NLAE-zl-G421.peg.2291,fig|Bxylanisolvens_NLAE-zl-H194.peg.2143,fig|Bxylanisolvens_NLAE-zl-P352.peg.2105,fig|Bxylanisolvens_NLAE-zl-P393.peg.2343,fig|Bxylanisolvens_NLAE-zl-P727.peg.1928,fig|Bxylanisolvens_NLAE-zl-P732.peg.2200,fig|Bxylanisolvens_NLAE-zl-P736.peg.2694"	"25586-26613"	"76756-79839"
"Chondroitin sulfate ABC exolyase precursor"	"fig|Bacteroides_1_1_30.peg.2822,fig|Bacteroides_2_1_22.peg.2862,fig|Bacteroides_2_2_4.peg.2873,fig|Bacteroides_3_1_23.peg.3480,fig|Bacteroides_D1.peg.2649,fig|Bacteroides_D22.peg.2732,fig|Bacteroides_D2.peg.3067,fig|Bacteroides_ovatus_3_8_47FAA.peg.2825,fig|Bacteroides_ovatus_ATCC_8483.peg.2378,fig|Bacteroides_ovatus_CL03T12C18.peg.3019,fig|Bacteroides_ovatus_SD_CC_2a.peg.2549,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4386,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2562,fig|Bacteroides_xylanisolvens_XB1A.peg.2518,fig|Bovatus_CL02T12C04.peg.3311,fig|Bovatus_NLAE-zl-C11.peg.2211,fig|Bovatus_NLAE-zl-C34.peg.2298,fig|Bovatus_NLAE-zl-H304.peg.3170,fig|Bovatus_NLAE-zl-H361.peg.2725,fig|Bovatus_NLAE-zl-H59.peg.3501,fig|Bovatus_NLAE-zl-H73.peg.3489,fig|Bxylanisolvens_CL03T12C04.peg.2419,fig|Bxylanisolvens_NLAE-zl-C182.peg.2492,fig|Bxylanisolvens_NLAE-zl-C29.peg.2353,fig|Bxylanisolvens_NLAE-zl-C339.peg.2544,fig|Bxylanisolvens_NLAE-zl-G310.peg.2544,fig|Bxylanisolvens_NLAE-zl-G421.peg.2550,fig|Bxylanisolvens_NLAE-zl-H194.peg.2383,fig|Bxylanisolvens_NLAE-zl-P352.peg.2341,fig|Bxylanisolvens_NLAE-zl-P393.peg.2578,fig|Bxylanisolvens_NLAE-zl-P727.peg.2165,fig|Bxylanisolvens_NLAE-zl-P732.peg.2436,fig|Bxylanisolvens_NLAE-zl-P736.peg.2938"	"26614-27637"	"79840-82911"
"TonB-dependent Receptor Plug Domain protein"	"fig|Bacteroides_1_1_30.peg.3057,fig|Bacteroides_2_1_22.peg.3080,fig|Bacteroides_2_2_4.peg.3120,fig|Bacteroides_3_1_23.peg.3757,fig|Bacteroides_D1.peg.4566,fig|Bacteroides_D22.peg.2964,fig|Bacteroides_D2.peg.3354,fig|Bacteroides_ovatus_3_8_47FAA.peg.3058,fig|Bacteroides_ovatus_ATCC_8483.peg.4664,fig|Bacteroides_ovatus_CL03T12C18.peg.3276,fig|Bacteroides_ovatus_SD_CC_2a.peg.2779,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4646,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2787,fig|Bacteroides_xylanisolvens_XB1A.peg.2787,fig|Bovatus_CL02T12C04.peg.3677,fig|Bovatus_NLAE-zl-C11.peg.2450,fig|Bovatus_NLAE-zl-C34.peg.2542,fig|Bovatus_NLAE-zl-H304.peg.3470,fig|Bovatus_NLAE-zl-H361.peg.3011,fig|Bovatus_NLAE-zl-H59.peg.3755,fig|Bovatus_NLAE-zl-H73.peg.3756,fig|Bxylanisolvens_CL03T12C04.peg.2687,fig|Bxylanisolvens_NLAE-zl-C182.peg.2705,fig|Bxylanisolvens_NLAE-zl-C29.peg.2556,fig|Bxylanisolvens_NLAE-zl-C339.peg.2757,fig|Bxylanisolvens_NLAE-zl-G310.peg.2743,fig|Bxylanisolvens_NLAE-zl-G421.peg.2749,fig|Bxylanisolvens_NLAE-zl-H194.peg.2591,fig|Bxylanisolvens_NLAE-zl-P352.peg.2593,fig|Bxylanisolvens_NLAE-zl-P393.peg.2831,fig|Bxylanisolvens_NLAE-zl-P727.peg.2416,fig|Bxylanisolvens_NLAE-zl-P732.peg.2686,fig|Bxylanisolvens_NLAE-zl-P736.peg.3200"	"27638-28658"	"82912-85974"
